text,label
Urgent surgery scheduling,HIGH
High priority lab confirmation,HIGH
Specialist consultation required,HIGH
Urgent patient transfer arrangement,HIGH
Review patient vitals today,MEDIUM
Prepare discharge summary for ward 5,MEDIUM
Monitor patient recovery progress,MEDIUM
Update ICU daily report,MEDIUM
Follow up on lab results,MEDIUM
Schedule follow up appointment,MEDIUM
Check medication dosage adjustments,MEDIUM
Update nurse shift schedule,MEDIUM
Review admission forms,MEDIUM
Prepare surgery documentation,MEDIUM
Monitor oxygen levels,MEDIUM
Update patient case summary,MEDIUM
Check pharmacy inventory,MEDIUM
Review treatment plan,MEDIUM
Prepare ward round notes,MEDIUM
Schedule routine checkup,MEDIUM
Update maintenance checklist,MEDIUM
Review lab documentation,MEDIUM
Monitor ward cleanliness,MEDIUM
Prepare patient billing report,MEDIUM
Review patient vitals today,MEDIUM
Prepare discharge summary for ward 5,MEDIUM
Monitor patient recovery progress,MEDIUM
Update ICU daily report,MEDIUM
Follow up on lab results,MEDIUM
Schedule follow up appointment,MEDIUM
Check medication dosage adjustments,MEDIUM
Update nurse shift schedule,MEDIUM
Review admission forms,MEDIUM
Prepare surgery documentation,MEDIUM
Monitor oxygen levels,MEDIUM
Update patient case summary,MEDIUM
Check pharmacy inventory,MEDIUM
Review treatment plan,MEDIUM
Prepare ward round notes,MEDIUM
Schedule routine checkup,MEDIUM
Update maintenance checklist,MEDIUM
Review lab documentation,MEDIUM
Monitor ward cleanliness,MEDIUM
Prepare patient billing report,MEDIUM
Review patient vitals today,MEDIUM
Prepare discharge summary for ward 5,MEDIUM
Monitor patient recovery progress,MEDIUM
Update ICU daily report,MEDIUM
Follow up on lab results,MEDIUM
Schedule follow up appointment,MEDIUM
Check medication dosage adjustments,MEDIUM
Update nurse shift schedule,MEDIUM
Review admission forms,MEDIUM
Prepare surgery documentation,MEDIUM
Monitor oxygen levels,MEDIUM
Update patient case summary,MEDIUM
Check pharmacy inventory,MEDIUM
Review treatment plan,MEDIUM
Prepare ward round notes,MEDIUM
Schedule routine checkup,MEDIUM
Update maintenance checklist,MEDIUM
Review lab documentation,MEDIUM
Monitor ward cleanliness,MEDIUM
Prepare patient billing report,MEDIUM
Update attendance sheet,LOW
Organize filing cabinet,LOW
Prepare meeting notes,LOW
Check staff duty list,LOW
Arrange supply inventory log,LOW
Update documentation archive,LOW
Review old case files,LOW
Organize training materials,LOW
Check email updates,LOW
Prepare monthly report draft,LOW
Update maintenance log,LOW
Arrange meeting schedule,LOW
Prepare presentation slides,LOW
Update hospital notice board,LOW
Organize staff records,LOW
Clean storage area checklist,LOW
Update documentation format,LOW
Prepare audit checklist,LOW
Review general paperwork,LOW
Arrange department files,LOW
Update attendance sheet,LOW
Organize filing cabinet,LOW
Prepare meeting notes,LOW
Check staff duty list,LOW
Arrange supply inventory log,LOW
Update documentation archive,LOW
Review old case files,LOW
Organize training materials,LOW
Check email updates,LOW
Prepare monthly report draft,LOW
Update maintenance log,LOW
Arrange meeting schedule,LOW
Prepare presentation slides,LOW
Update hospital notice board,LOW
Organize staff records,LOW
Clean storage area checklist,LOW
Update documentation format,LOW
Prepare audit checklist,LOW
Review general paperwork,LOW
Arrange department files,LOW
Update attendance sheet,LOW
Organize filing cabinet,LOW
Prepare meeting notes,LOW
Check staff duty list,LOW
Arrange supply inventory log,LOW
Update documentation archive,LOW
Review old case files,LOW
Organize training materials,LOW
Check email updates,LOW
Prepare monthly report draft,LOW
Update maintenance log,LOW
Arrange meeting schedule,LOW
Prepare presentation slides,LOW
Update hospital notice board,LOW
Organize staff records,LOW
Clean storage area checklist,LOW
Update documentation format,LOW
Prepare audit checklist,LOW
Review general paperwork,LOW
Arrange department files,LOW
